Pairs,SMILES - Molecule A,SMILES - Molecule B,YES %
61a,OC1N=C(C2=CC=CC=C2Cl)C2=C(NC1=O)C=CC(Cl)=C2,CN1CC[C@]23[C@H]4OC5=C(O)C=CC(C[C@@H]1[C@]2(O)CCC4=O)=C35,2.34
62a,N[C@@H](CC1=CC=CC=C1)C(O)=O,CC(C)CC1=CC=C(C=C1)C(C)C(O)=O,17.97
63a,NCCCC[C@H](N)C(O)=O,Cl.ClC1=C(Cl)C2=C(C=C1)N=C1NC(=O)CN1C2,0
64a,[Na+].OC1=CC=CC=C1C([O-])=O,CC1=CC(=O)C2=CC=CC=C2C1=O,2.34
65a,C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(C)=O)[C@@]3(C)C[C@H](O)[C@]2(F)[C@@]2(C)C=CC(=O)C=C12,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,90.63
66a,CC1=C(C(=O)N[C@H]2[C@H]3SC(C)(C)[C@@H](N3C2=O)C(O)=O)C(=NO1)C1=CC=CC=C1Cl,CC1=C(C(=O)N[C@H]2[C@H]3SC(C)(C)[C@@H](N3C2=O)C(O)=O)C(=NO1)C1=C(Cl)C=CC=C1Cl,93.75
67a,COC1=C2O[C@H]3C(=O)CC[C@@]4(O)[C@H]5CC(C=C1)=C2[C@@]34CCN5C,COC1=C2O[C@H]3C(=O)CC[C@H]4[C@H]5CC(C=C1)=C2[C@@]34CCN5C,92.19
68a,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,72.22
69a,CCN(CC)CC#CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1,CN(C)CCOC(=O)C(C1=CC=CC=C1)C1(O)CCCC1,37.5
70a,COC1=NC(OC)=NC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1,CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N,8.59
71a,CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1,COCCC1=CC=C(OCC(O)CNC(C)C)C=C1,95.31
72a,COC(=O)C1=C(NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC(C)C)C#N,COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC=C1[N+]([O-])=O)C(=O)OC,66.41
73a,N[C@@H](CC1=CN=CN1)C(O)=O,CC(C)(N)CC1=CC=CC=C1,3.91
74a,N[C@@H](CC1=CN=CN1)C(O)=O,CC1=NC=C(CO)C(CO)=C1O,0.78
75a,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(O)=O)SCCS2,CCOC(=O)[C@@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N1CCC[C@H]1C(O)=O,53.13
